title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
Ant-Man,2015,"Treasure Island, Building #1, Ave of the Palms",Aerial and exterior shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,CA,San Francisco,POINT (-122.371174 37.8173771),6,2026-02-20T16:44:43.000,Treasure Island,-122.371174,2026-02-20T16:37:46.000,37.8173771
Outerlands,2025,Sacramento St. at Arguello Blvd.,,"Vajra Films, LLC",Wolfe Video,Elena Oxman,Elena Oxman,Asia Kate Dillon,Louisa Krause,Ridley Asha Bateman,CA,San Francisco,POINT (-122.4592888 37.7866411),1,2026-02-20T16:44:43.000,Inner Richmond,-122.4592888,2026-02-20T16:37:46.000,37.7866411
Age of Adaline,2015,Plate Shots SF streets various,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,CA,San Francisco,POINT (-122.4063767 37.7811475),6,2026-02-20T16:44:43.000,South of Market,-122.4063767,2026-02-20T16:37:46.000,37.7811475
Boys and Girls,2000,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,CA,San Francisco,POINT (-122.4101808 37.8016649),3,2026-02-20T16:44:43.000,North Beach,-122.4101808,2026-02-20T16:37:46.000,37.8016649
Dream for an Insomniac,1996,Baker Beach,"From 1986-1990, the north end of Baker Beach was home to the Burning Man festival.",Triton Productions,Columbia TriStar Home Video,Tiffanie DeBartolo,Tiffanie DeBartolo,Ione Skye,Jennifer Aniston,,CA,San Francisco,POINT (-122.483638 37.7935724),2,2026-02-20T16:44:43.000,Presidio,-122.483638,2026-02-20T16:37:46.000,37.7935724
Summertime,2015,Chinatown (Stockton @ Jackson & Jackson toward Grant,,"Creative Monster Productions, Inc.",10 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,CA,San Francisco,POINT (-122.408083 37.793978),3,2026-02-20T16:44:43.000,Chinatown,-122.408083,2026-02-20T16:37:46.000,37.793978
Nash Bridges,2021,Alameda Street between Vermont and San Bruno,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,CA,San Francisco,POINT (-122.4039109 37.7589957),10,2026-02-20T16:44:43.000,Potrero Hill,-122.4039109,2026-02-20T16:37:46.000,37.7589957
Fairyland,2023,2536 - 2538 Bryant Street,,Portals of the Past LLC,Lionsgate,Andrew Durham,Andrew Durham,Emilia Jones,Scoot McNairy,Geena Davis,CA,San Francisco,POINT (-122.4095374 37.7537874),9,2026-02-20T16:44:43.000,Mission,-122.4095374,2026-02-20T16:37:46.000,37.7537874
Clickbait,2021,Jackson between Front and Davis,,"MasterKey Studios, Inc.",Netflix,"Brad Anderson, Emma Freeman, Cherie Nowlan, Ben Young","Tony Ayres, Christian White",Zoe Kavan,Betty Gabriel,Adrian Grenier,CA,San Francisco,POINT (-122.4024302 37.7964911),3,2026-02-20T16:44:43.000,Chinatown,-122.4024302,2026-02-20T16:37:46.000,37.7964911
Summertime,2015,Duboce Park,,"Creative Monster Productions, Inc.",13 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,CA,San Francisco,POINT (-122.433214 37.769551),8,2026-02-20T16:44:43.000,Haight Ashbury,-122.433214,2026-02-20T16:37:46.000,37.769551
Tales of the City,2019,Mission District,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,CA,San Francisco,POINT (-122.4173724 37.7635614),9,2026-02-20T16:44:43.000,Mission,-122.4173724,2026-02-20T16:37:46.000,37.7635614
Sense8,2015,Van Ness and 12th St.,A couple reminisces on the moment they first fell in love,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,CA,San Francisco,POINT (-122.4188895 37.7735588),6,2026-02-20T16:44:43.000,Mission,-122.4188895,2026-02-20T16:37:46.000,37.7735588
Godzilla,2014,Pier 7 (The Embarcadero),,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,CA,San Francisco,POINT (-122.3956409 37.7993521),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3956409,2026-02-20T16:37:46.000,37.7993521
The Enforcer,1976,Hall of Justice,,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino,CA,San Francisco,POINT (-122.4039338 37.7752858),6,2026-02-20T16:44:43.000,South of Market,-122.4039338,2026-02-20T16:37:46.000,37.7752858
Foul Play,1978,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,CA,San Francisco,POINT (-122.4327231 37.7760676),5,2026-02-20T16:44:43.000,Hayes Valley,-122.4327231,2026-02-20T16:37:46.000,37.7760676
The Bridge,2006,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Easy There Tiger Productions,IFC Films,Eric Steel,N/A,John Snowden,,,CA,San Francisco,POINT (-122.4785598 37.8199109),,2026-02-20T16:44:43.000,,-122.4785598,2026-02-20T16:37:46.000,37.8199109
Chance Season 2,2017,Coit Tower,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.4058222 37.8023949),3,2026-02-20T16:44:43.000,North Beach,-122.4058222,2026-02-20T16:37:46.000,37.8023949
Pushing Dead,2016,"Daniel's Pharmacy, 943 Geneva Ave",,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,CA,San Francisco,POINT (-122.4403648 37.7163236),11,2026-02-20T16:44:43.000,Excelsior,-122.4403648,2026-02-20T16:37:46.000,37.7163236
Pacific Heights,1990,Financial District,,Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,,CA,San Francisco,POINT (-122.3964729 37.7936658),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3964729,2026-02-20T16:37:46.000,37.7936658
Copycat,1995,Twin Peaks,"The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area “Los Pechos de la Chola” or ""Breasts of the Indian Maiden,"" but in the 19th Century when America took over the area, it was renamed ""Twin Peaks"".",Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,CA,San Francisco,POINT (-122.4476845 37.7544066),7,2026-02-20T16:44:43.000,Twin Peaks,-122.4476845,2026-02-20T16:37:46.000,37.7544066
"Smile Again, Jenny Lee",2015,Hyatt Hotel (555 North Point St.),,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.4160276 37.806191),3,2026-02-20T16:44:43.000,North Beach,-122.4160276,2026-02-20T16:37:46.000,37.806191
Hulk,2003,Vallejo Street at Sansome,,Universal Pictures,Universal Pictures,Ang Lee,Stan Lee,Eric Bana,Jennifer Connelly,,CA,San Francisco,POINT (-122.4024482 37.7993875),3,2026-02-20T16:44:43.000,North Beach,-122.4024482,2026-02-20T16:37:46.000,37.7993875
Sister Act 2: Back in the Habit,1993,"Carnelian Room, Bank of America Building (555 California Street, 53rd Floor)","The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,,CA,San Francisco,POINT (-122.4037515 37.7924396),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4037515,2026-02-20T16:37:46.000,37.7924396
The Diary of a Teenage Girl,2015,700 Kansas St.,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,CA,San Francisco,POINT (-122.403488 37.7607559),10,2026-02-20T16:44:43.000,Potrero Hill,-122.403488,2026-02-20T16:37:46.000,37.7607559
Sudden Impact,1983,"Bowles Franklin Galleries (765 Beach Street, Fisherman's Wharf)",,Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,Pat Hingle,CA,San Francisco,POINT (-122.4215182 37.806447),2,2026-02-20T16:44:43.000,Russian Hill,-122.4215182,2026-02-20T16:37:46.000,37.806447
Looking Season 2 ep 202,2015,100 Church Street,"Jake Shears, lead singer of the band Scissor Sisters, auditioned for the role of Dom.","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4293384 37.7693293),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.4293384,2026-02-20T16:37:46.000,37.7693293
On the Beach,1959,,,Stanley Kramer Productions,United Artists,Stanley Kramer,John Paxton,Gregory Peck,Ava Gardner,Fred Astaire,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
Beautiful Boy,2018,Divisadero between Broadway and Greenwich,,Big Indie Pictures,Amazon Studios,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney,CA,San Francisco,POINT (-122.4011547 37.8030707),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4011547,2026-02-20T16:37:46.000,37.8030707
Magnum Force,1973,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)","This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.",The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan,CA,San Francisco,POINT (-122.3902572 37.7768525),6,2026-02-20T16:44:43.000,Mission Bay,-122.3902572,2026-02-20T16:37:46.000,37.7768525
Need For Speed,2014,California St from Taylor to Powell,,"Need For Speed Productions, LLC",Walt Disney Studios Motion Pictures,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots,CA,San Francisco,POINT (-122.4123016 37.79176),3,2026-02-20T16:44:43.000,Nob Hill,-122.4123016,2026-02-20T16:37:46.000,37.79176
Outerlands,2025,Better Food Market – 3149 Balboa St.,,"Vajra Films, LLC",Wolfe Video,Elena Oxman,Elena Oxman,Asia Kate Dillon,Louisa Krause,Ridley Asha Bateman,CA,San Francisco,POINT (-122.492845 37.7757683),1,2026-02-20T16:44:43.000,Outer Richmond,-122.492845,2026-02-20T16:37:46.000,37.7757683
The Phone/Jexi,2019,Regency Ballroom - 1290 Sutter St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.4214133 37.7878701),3,2026-02-20T16:44:43.000,Nob Hill,-122.4214133,2026-02-20T16:37:46.000,37.7878701
Looking Season 2 ep 203,2015,"Balboa pool Lot, San Jose Avenue & Havelock St",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4432767 37.726275),11,2026-02-20T16:44:43.000,Outer Mission,-122.4432767,2026-02-20T16:37:46.000,37.726275
Fearless,1993,5th and Beale Streets,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,CA,San Francisco,POINT (-122.4789708 37.7927708),2,2026-02-20T16:44:43.000,Presidio,-122.4789708,2026-02-20T16:37:46.000,37.7927708
Surface Season 1,2022,Post St. between Montgomery and Kearny St.,,"Apple Studios, LLC",Apple TV+,Sam Miller,"Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Stephan James,CA,San Francisco,POINT (-122.40274 37.78896),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.40274,2026-02-20T16:37:46.000,37.78896
Looking,2014,770 Haight St,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.43489 37.771831),5,2026-02-20T16:44:43.000,Haight Ashbury,-122.43489,2026-02-20T16:37:46.000,37.771831
Dirty Harry,1971,San Francisco Drydock (20th and Illinois Streets),,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,CA,San Francisco,POINT (-122.3866097 37.760628),10,2026-02-20T16:44:43.000,Potrero Hill,-122.3866097,2026-02-20T16:37:46.000,37.760628
Venom,2018,Embarcadero btwn Folsom and Bryant,Motorcycle/SUV chase scene,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,CA,San Francisco,POINT (-122.3895614 37.7904588),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3895614,2026-02-20T16:37:46.000,37.7904588
When We Rise,2017,United Nations Plaza,,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,CA,San Francisco,POINT (-122.4147491 37.7795066),5,2026-02-20T16:44:43.000,Tenderloin,-122.4147491,2026-02-20T16:37:46.000,37.7795066
Pretty Woman,1990,,,Touchstone Pictures,Buena Vista Pictures,Garry Marshall,J.F. Lawton,Richard Gere,Julia Roberts,,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
Woman on Top,2000,312 Fillmore Street,,Fox Searchlight Pictures,Fox Searchlight Pictures,Fina Torres,Vera Blasi,Penelope Cruz,,,CA,San Francisco,POINT (-122.4303648 37.7723837),5,2026-02-20T16:44:43.000,Hayes Valley,-122.4303648,2026-02-20T16:37:46.000,37.7723837
"Murder in the First, Season 1",2014,Hall of Justice (850 Bryant Street),,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.4041754 37.7761709),6,2026-02-20T16:44:43.000,South of Market,-122.4041754,2026-02-20T16:37:46.000,37.7761709
Etruscan Smile,2017,Turk Street between Mason & Leavenworth,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.41397 37.78269),5,2026-02-20T16:44:43.000,Tenderloin,-122.41397,2026-02-20T16:37:46.000,37.78269
Looking Season 2 ep 210,2015,Twin Peaks Park,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4474131 37.7529149),7,2026-02-20T16:44:43.000,Twin Peaks,-122.4474131,2026-02-20T16:37:46.000,37.7529149
The Last Black Man in San Francisco,2019,Haight and Belvedere,,"LBMISF, LLC",A24,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,CA,San Francisco,POINT (-122.4496695 37.7696753),5,2026-02-20T16:44:43.000,Haight Ashbury,-122.4496695,2026-02-20T16:37:46.000,37.7696753
Petulia,1968,2417 Franklin Street,,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain,CA,San Francisco,POINT (-122.4254618 37.7967479),2,2026-02-20T16:44:43.000,Marina,-122.4254618,2026-02-20T16:37:46.000,37.7967479
Sudden Fear,1952,The Tamalpais Building (1201 Greenwich Street at Hyde),,Joseph Kaufmann Pictures,RKO Pictures,David Miller,Lenore J. Coffee,Joan Crawford,Jack Palance,Gloria Grahame,CA,San Francisco,POINT (-122.4197304 37.8007671),3,2026-02-20T16:44:43.000,Russian Hill,-122.4197304,2026-02-20T16:37:46.000,37.8007671
Etruscan Smile,2017,"St Regis Hotel, 125 3rd Street",,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.4015083 37.7861347),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4015083,2026-02-20T16:37:46.000,37.7861347
Chance- Season 1 ep102,2016,Heron and Berwick Alleys,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.408452 37.7746062),6,2026-02-20T16:44:43.000,South of Market,-122.408452,2026-02-20T16:37:46.000,37.7746062
The Conversation,1974,Alamo Square (Hayes Valley),,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,CA,San Francisco,POINT (-122.434819 37.7763694),5,2026-02-20T16:44:43.000,Hayes Valley,-122.434819,2026-02-20T16:37:46.000,37.7763694
Etruscan Smile,2017,"Legion of Honor, 100 34th Ave","California Palace of the Legion of Honor was completed in 1924, and on Armistice Day of that year the doors opened to the public. In keeping with the wishes of the donors, to “honor the dead while serving the living,” it was accepted by the city of San Francisco as a museum of fine arts dedicated to the memory of the 3,600 California men who had lost their lives on the battlefields of France during World War I.","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.5008374 37.7845037),1,2026-02-20T16:44:43.000,Lincoln Park,-122.5008374,2026-02-20T16:37:46.000,37.7845037
Cardinal X,2015,1465 Revere Avenue between Keith and Jennings,,Fire Horse Film Productions LLC,,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,CA,San Francisco,POINT (-122.3878553 37.730091),10,2026-02-20T16:44:43.000,Bayview Hunters Point,-122.3878553,2026-02-20T16:37:46.000,37.730091
"Looking ""Special""",2016,1246 Folsom Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.411015 37.7746),6,2026-02-20T16:44:43.000,South of Market,-122.411015,2026-02-20T16:37:46.000,37.7746
D.O.A,1950,Market & Steuart Streets (Financial District),,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler,CA,San Francisco,POINT (-122.3947995 37.7944635),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3947995,2026-02-20T16:37:46.000,37.7944635
Women is Losers,2020,Dolores Park,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,CA,San Francisco,POINT (-122.4266135 37.7608223),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.4266135,2026-02-20T16:37:46.000,37.7608223
Freebie and the Bean,1974,Broadway and Columbus Avenue (North Beach),,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,CA,San Francisco,POINT (-122.4067083 37.7978824),3,2026-02-20T16:44:43.000,Chinatown,-122.4067083,2026-02-20T16:37:46.000,37.7978824
The Presidio,1988,"Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.",Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,CA,San Francisco,POINT (-122.47709 37.8106117),2,2026-02-20T16:44:43.000,Presidio,-122.47709,2026-02-20T16:37:46.000,37.8106117
Summertime,2015,53 Potomac St,,"Creative Monster Productions, Inc.",14 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,CA,San Francisco,POINT (-122.4327866 37.769982),8,2026-02-20T16:44:43.000,Haight Ashbury,-122.4327866,2026-02-20T16:37:46.000,37.769982
The Moon Is in Aquarius,2024,Front St. between Vallejo & Broadway,,TMIIAquarius Movie LLC,Deskpop Entertainment,Jesse Kuba,Jesse Kuba,Destiny Ekwueme,Gary Moore,Mia Jomor,CA,San Francisco,POINT (-122.4044008 37.7991483),3,2026-02-20T16:44:43.000,North Beach,-122.4044008,2026-02-20T16:37:46.000,37.7991483
Etruscan Smile,2017,3rd Street between Market & Harrison,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.4037466 37.7873862),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4037466,2026-02-20T16:37:46.000,37.7873862
Gentleman Jim,1942,The Barbary Coast,"The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establishments out of business.",Warner Bros. Pictures,Warner Bros. Pictures,Raoul Walsh,Vincent Lawrence,Errol Flynn,Alexis Smith,Jack Carson,CA,San Francisco,POINT (-122.4078009 37.7819145),6,2026-02-20T16:44:43.000,South of Market,-122.4078009,2026-02-20T16:37:46.000,37.7819145
A Man on The Inside,2024,Private residence on Union st.between Fillmore and Steiner,,"Universal Television, LLC",Netflix,Morgan Sackett,Michael Schur,Ted Danson,Mary Elizabeth Ellis,Lilah Richcreek Estrada,CA,San Francisco,POINT (-122.4243125 37.7984423),2,2026-02-20T16:44:43.000,Marina,-122.4243125,2026-02-20T16:37:46.000,37.7984423
Chance- Season 1 ep107,2016,"Punjab Café, 838 24th St.",,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.3883351 37.7541045),10,2026-02-20T16:44:43.000,Potrero Hill,-122.3883351,2026-02-20T16:37:46.000,37.7541045
Venom,2018,Hemlock Alley btwn Polk and Larkin,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,CA,San Francisco,POINT (-122.4202587 37.7873893),3,2026-02-20T16:44:43.000,Nob Hill,-122.4202587,2026-02-20T16:37:46.000,37.7873893
Greed,1924,Hayes Street at Laguna,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim,Eric von Stroheim,Zasu Pitts,Gibson Gowland,Jean Hersholt,CA,San Francisco,POINT (-122.4262877 37.7764735),5,2026-02-20T16:44:43.000,Hayes Valley,-122.4262877,2026-02-20T16:37:46.000,37.7764735
Doctor Dolittle,1998,2107 Union Street,,Twentieth Century Fox Film Cooperation,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,,CA,San Francisco,POINT (-122.4340934 37.7971178),2,2026-02-20T16:44:43.000,Marina,-122.4340934,2026-02-20T16:37:46.000,37.7971178
The Last Black Man in San Francisco,2019,"Ford's Grocery Store, 1496 Oakdale Ave",,"LBMISF, LLC",A24,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,CA,San Francisco,POINT (-122.3882617 37.7336171),10,2026-02-20T16:44:43.000,Bayview Hunters Point,-122.3882617,2026-02-20T16:37:46.000,37.7336171
Kamikaze Hearts,1986,Market Street Between Noe and Sanchez,,Leger/Bashore,Facets Multimedia Distribution,Juliet Bashore,Juliet Bashore,Tigr,Sharon Mitchell,,CA,San Francisco,POINT (-122.4333876 37.7639228),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.4333876,2026-02-20T16:37:46.000,37.7639228
D.O.A,1950,Southern Pacific Memorial Hospital (1400 Fell Street),,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler,CA,San Francisco,POINT (-122.4415459 37.7737251),5,2026-02-20T16:44:43.000,Lone Mountain/USF,-122.4415459,2026-02-20T16:37:46.000,37.7737251
Chance- Season 1 ep103,2016,350 Santa Ana Ave.,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4682799 37.7306244),7,2026-02-20T16:44:43.000,West of Twin Peaks,-122.4682799,2026-02-20T16:37:46.000,37.7306244
Surface,2022,Bay Street between Larkin and Hyde,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,CA,San Francisco,POINT (-122.4217493 37.8044638),2,2026-02-20T16:44:43.000,Russian Hill,-122.4217493,2026-02-20T16:37:46.000,37.8044638
Dope Queens,2025,Polk Street between California and Pine,,TomorrowLand Productions Co Inc.,TBD,Grafton Reyes Doyle,Grafton Reyes Doyle,Alexandra Grey,Pierson Fodé,Trace Lysette,CA,San Francisco,POINT (-122.42083 37.79049),3,2026-02-20T16:44:43.000,Nob Hill,-122.42083,2026-02-20T16:37:46.000,37.79049
"Murder in the First, Season 2",2015,Potrero Hill Recreation Center (801 Arkansas Street),,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.3970097 37.756154),10,2026-02-20T16:44:43.000,Potrero Hill,-122.3970097,2026-02-20T16:37:46.000,37.756154
Looking Season 2 ep 209,2015,1890 Clay Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4238729 37.7922528),2,2026-02-20T16:44:43.000,Pacific Heights,-122.4238729,2026-02-20T16:37:46.000,37.7922528
DEVS,2020,20th at Noe St,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.4325357 37.7578319),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.4325357,2026-02-20T16:37:46.000,37.7578319
